,Qual Position,Race Position,Percent Finish
0,1,Top 1,53.333333333333336
1,1,Top 2,69.04761904761905
2,1,Top 3,79.04761904761905
3,2,Top 1,21.428571428571427
4,2,Top 2,42.38095238095238
5,2,Top 3,58.095238095238095
6,3,Top 2,20.476190476190474
7,3,Top 3,37.61904761904762
8,3,Top 1,47.61904761904762
9,4,Top 2,14.285714285714285
10,4,Top 3,27.14285714285714
11,4,Top 1,32.38095238095238
12,5,Top 3,12.857142857142856
13,5,Top 2,21.904761904761905
14,5,Top 1,24.761904761904763
15,6,Top 3,10.476190476190476
16,6,Top 2,15.238095238095237
17,6,Top 1,17.619047619047617
18,7,Top 2,5.238095238095238
19,7,Top 3,9.523809523809524
20,7,Top 1,11.428571428571429
21,8,Top 3,3.3333333333333335
22,8,Top 2,4.285714285714286
23,8,Top 1,4.761904761904762
24,9,Top 2,2.380952380952381
25,9,Top 3,2.857142857142857
26,9,Top 1,3.3333333333333335
27,10,Top 3,2.857142857142857
28,10,Top 2,4.761904761904762
29,10,Top 1,5.714285714285714
30,11,Top 2,1.9047619047619049
31,11,Top 3,3.8095238095238098
32,11,Top 1,4.761904761904762
33,12,Top 3,0.4761904761904762
34,13,Top 3,1.9047619047619049
35,13,Top 2,2.380952380952381
36,14,Top 2,0.4761904761904762
37,15,Top 3,0.9523809523809524
38,16,Top 3,0.9523809523809524
39,17,Top 2,0.9523809523809524
40,17,Top 3,1.4285714285714286
41,18,Top 3,0.4761904761904762
42,19,Top 3,0.966183574879227
43,19,Top 2,1.4492753623188406
44,20,Top 3,0.49261083743842365
45,21,Top 3,1.7241379310344827
46,22,Top 3,0.8928571428571428
